"slug","prefix","label","status","enabled","active_providers","model_count"
"antigravity","ag","Antigravity","available","True","876","6"
"claude-code","cc","Claude Code","available","True","12","11"
"cline-pass","cp","ClinePass","available","True","187","17"
"codebuddy","cb","CodeBuddy","available","True","14929","21"
"codebuddy-cn","cbcn","CodeBuddy CN","available","True","5546","12"
"commandcode","cmc","Command Code","available","True","6","17"
"codex","cx","OpenAI Codex","available","True","169","7"
"opencode-go","ocg","OpenCode Go","available","True","1","18"
"qwencloud-alibaba","ali","Qwencloud/Alibaba","available","True","22025","11"
"xiaomi-mimo","mimo","Xiaomi MiMo","available","True","0","2"
"z-ai","zai","Z.AI GLM Coding Plan","available","True","25","3"
